scope,location,month,mean_cases,median_cases,total_cases,cells_observed,mean_rainfall,mean_mean_temperature,mean_mean_relative_humidity
national,ALL,1,5.794,0.0,1153.0,199,0.544,19.028,68.375
national,ALL,2,4.729,0.0,941.0,199,0.853,21.136,65.003
national,ALL,3,6.162,0.0,1220.0,198,1.963,23.478,65.649
national,ALL,4,7.793,0.0,1543.0,198,3.993,24.749,74.029
national,ALL,5,23.965,0.0,4769.0,199,8.903,24.09,83.471
national,ALL,6,43.332,1.0,8623.0,199,9.305,24.136,86.842
national,ALL,7,82.141,2.0,16346.0,199,11.419,23.743,88.479
national,ALL,8,74.722,2.0,14795.0,198,11.808,23.539,89.544
national,ALL,9,59.985,1.0,11937.0,199,9.366,23.132,88.121
national,ALL,10,40.126,1.0,7985.0,199,4.283,22.53,83.179
national,ALL,11,21.737,0.0,4304.0,198,1.579,20.539,75.397
national,ALL,12,17.247,0.0,3415.0,198,0.695,18.617,71.945
