location,split_first_period,metric
LA-AT,200801,1.4164009999999998
LA-AT,200804,1.811875
LA-AT,200807,8.994796333333332
LA-AT,200810,24.456092333333334
LA-AT,200901,35.14347633333333
LA-AT,200904,46.13880533333333
LA-AT,200907,24.374655333333333
LA-AT,200910,6.4076786666666665
LA-BK,200801,0.31303699999999995
LA-BK,200804,21.329107
LA-BK,200807,9.959563999999995
LA-BK,200810,22.558023000000002
LA-BK,200901,0.46262366666666677
LA-BK,200904,63.97055833333334
LA-BK,200907,103.93314099999999
LA-BK,200910,12.342712666666666
LA-BL,200801,3.809392666666667
LA-BL,200804,4.203835000000001
LA-BL,200807,18.77348866666667
LA-BL,200810,5.037349333333334
LA-BL,200901,1.1662786666666667
LA-BL,200904,3.509686333333333
LA-BL,200907,10.440076
LA-BL,200910,2.891138
LA-CH,200801,41.59687066666667
LA-CH,200804,58.98447466666668
LA-CH,200807,104.09384700000003
LA-CH,200810,36.671764
LA-CH,200901,19.108242999999998
LA-CH,200904,61.09757266666665
LA-CH,200907,68.51426333333332
LA-CH,200910,15.62468566666667
LA-HO,200801,0.005358999999999998
LA-HO,200804,0.010222666666666663
LA-HO,200807,0.5054393333333334
LA-HO,200810,0.3213103333333333
LA-HO,200901,0.022792666666666666
LA-HO,200904,0.02066000000000001
LA-HO,200907,0.6623846666666667
LA-HO,200910,0.7584249999999999
LA-KH,200801,0.3124186666666666
LA-KH,200804,1.4772740000000002
LA-KH,200807,5.071967000000005
LA-KH,200810,1.7325856666666668
LA-KH,200901,1.6470983333333333
LA-KH,200904,22.441998666666667
LA-KH,200907,191.77239233333333
LA-KH,200910,29.588020666666665
LA-LM,200801,7.933333333333331e-05
LA-LM,200804,0.0011923333333333358
LA-LM,200807,0.747465
LA-LM,200810,0.008700333333333329
LA-LM,200901,0.00018533333333333306
LA-LM,200904,0.9155826666666665
LA-LM,200907,1.6390666666666671
LA-LM,200910,3.6255360000000003
LA-LP,200801,11.788265666666668
LA-LP,200804,58.82908533333333
LA-LP,200807,9.111364000000002
LA-LP,200810,93.22789366666666
LA-LP,200901,7.9449853333333325
LA-LP,200904,34.715664
LA-LP,200907,105.08839466666667
LA-LP,200910,38.745675
LA-OU,200801,0.00032366666666666595
LA-OU,200804,0.005522000000000005
LA-OU,200807,1.3733863333333343
LA-OU,200810,0.009463666666666669
LA-OU,200901,0.00018833333333333432
LA-OU,200904,0.008014999999999996
LA-OU,200907,4.462601666666667
LA-OU,200910,9.265983333333333
LA-PH,200901,0.0158436666666667
LA-PH,200904,0.012031000000000014
LA-PH,200907,0.29303800000000013
LA-PH,200910,0.009710666666666664
LA-SL,200801,1.6681069999999998
LA-SL,200804,92.32441333333334
LA-SL,200807,48.86240433333332
LA-SL,200810,15.514625
LA-SL,200901,11.813718
LA-SL,200904,26.979745666666663
LA-SL,200907,86.43566266666666
LA-SL,200910,18.872187999999998
LA-SV,200801,2.2809363333333335
LA-SV,200804,11.989507000000003
LA-SV,200807,28.806044000000004
LA-SV,200810,1.748374
LA-SV,200901,0.07643133333333334
LA-SV,200904,1.0437253333333334
LA-SV,200907,29.661157666666686
LA-SV,200910,8.397375
LA-VT,200801,10.629022666666666
LA-VT,200804,38.79837866666667
LA-VT,200807,88.48161699999996
LA-VT,200810,42.971928333333324
LA-VT,200901,13.983380333333335
LA-VT,200904,100.62622433333335
LA-VT,200907,224.21526399999996
LA-VT,200910,242.248597
LA-XA,200801,0.5217139999999999
LA-XA,200804,1.4197586666666666
LA-XA,200807,5.965346333333334
LA-XA,200810,1.034228333333333
LA-XA,200901,0.12203633333333336
LA-XA,200904,2.3619263333333333
LA-XA,200907,12.730407999999997
LA-XA,200910,2.627003
LA-XE,200801,0.00720833333333334
LA-XE,200804,1.392243
LA-XE,200807,0.5710579999999995
LA-XE,200810,0.30381733333333333
LA-XE,200901,1.2123226666666667
LA-XE,200904,2.5318126666666667
LA-XE,200907,16.889980666666666
LA-XE,200910,3.9545879999999993
LA-XI,200801,0.00033833333333333285
LA-XI,200804,0.31150399999999995
LA-XI,200807,0.4109573333333332
LA-XI,200810,0.0045786666666666614
LA-XI,200901,0.0016096666666666644
LA-XI,200904,23.934316
LA-XI,200907,2.668220333333334
LA-XI,200910,0.5350750000000001
